Unix Time,Run time (s),Latitude,Longitude,True Heading (degrees),Target Heading (degrees),Real Left Wheel Speed (mph),Real Right Wheel Speed (mph),Target Left Speed (mph),Target Right Speed (mph),Heading Accuracy (deg),GPS Accuracy (mm),Fix Type
1659476403,0,40.4717881,-86.9952085,166.03,0.0,0.0,0.0,0.0,0.0,7.0,543,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.4717881,-86.9952085,165.92,0.0,0.0,0.0,0.0,0.0,6.86,537,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.471789,-86.9952086,165.2,0.0,0.0,0.0,0.0,0.0,6.91,533,RTK fixed,
1659476403,0,40.4717897,-86.9952084,163.07,165.77,0.0,0.0,0.0,0.0,7.42,526,RTK fixed,
1659476403,0,40.4717897,-86.9952084,163.07,165.77,0.0,0.0,1.0,0.935,7.42,526,RTK fixed,
1659476403,0,40.4717897,-86.9952084,163.07,165.77,0.0,0.0,1.0,0.935,7.42,526,RTK fixed,
1659476403,0,40.4717901,-86.9952086,163.02,165.77,0.0,0.0,1.0,0.935,8.91,525,RTK fixed,
1659476403,0,40.4717901,-86.9952086,163.02,165.97,2.18,2.18,1.0,0.935,8.91,525,RTK fixed,
1659476403,0,40.4717901,-86.9952086,163.02,165.97,1.84,1.84,1.0,0.93,8.91,525,RTK fixed,
1659476403,0,40.4717901,-86.9952086,163.02,165.97,1.82,1.82,1.0,0.93,8.91,525,RTK fixed,
1659476403,0,40.4717883,-86.9952088,167.55,165.97,1.82,1.82,1.0,0.93,1.08,495,RTK float,
1659476403,0,40.4717883,-86.9952088,167.55,165.52,1.8,1.8,0.95,1.0,1.08,495,RTK float,
1659476403,0,40.4717883,-86.9952088,167.55,165.52,1.88,1.88,0.95,1.0,1.08,495,RTK float,
1659476403,0,40.4717883,-86.9952088,167.55,165.52,1.88,1.88,0.95,1.0,1.08,495,RTK float,
1659476403,0,40.4717883,-86.9952088,167.55,165.52,1.92,1.92,0.95,1.0,1.08,495,RTK float,
1659476403,0,40.471784,-86.9952076,167.76,165.52,2.0,2.0,0.95,1.0,1.09,498,RTK float,
1659476403,0,40.471784,-86.9952076,167.76,165.52,1.98,1.98,0.95,1.0,1.09,498,RTK float,
1659476403,0,40.471784,-86.9952076,167.76,165.52,1.98,1.98,0.95,1.0,1.09,498,RTK float,
1659476403,0,40.47178,-86.9952062,168.46,165.34,1.98,1.98,0.95,1.0,1.08,498,RTK float,
